Timestamp                       Thread     Type        Activity             PID    TTL  
2023-03-01 20:19:00.240730+0800 0x2b3752   Default     0x0                  18333  0    eapolclient: [com.apple.eapol:Client] en0 EAP-PEAP: successfully authenticated
2023-03-01 20:19:00.314789+0800 0x2b3743   Default     0x2de9cd             483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 20:19:00.322686+0800 0x2b3743   Default     0x2de9cd             483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 20:21:04.719313+0800 0x2b3752   Default     0x0                  18333  0    eapolclient: [com.apple.eapol:Client] en0 STOP
2023-03-01 20:21:04.948428+0800 0x2b3ff2   Default     0x0                  18434  0    eapolclient: [com.apple.eapol:Client] en0 START uid 501 gid 20
2023-03-01 20:21:04.950471+0800 0x2b3ff2   Default     0x0                  18434  0    eapolclient: [com.apple.eapol:Client] en0: 802.1X User Mode
2023-03-01 20:21:05.168098+0800 0x2b3fe6   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 20:21:05.178329+0800 0x2b3fe6   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 20:21:05.179450+0800 0x2b3fe6   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 20:21:05.182215+0800 0x2b3fe6   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 20:21:05.191635+0800 0x2b4001   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
